Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
tumeur stromale gastro-intestinale,"douleur abdominale ou inconfort,saignements gastro-intestinaux,anémie,fatigue,sensation de plénitude ou de satiété précoce","chirurgie,thérapie ciblée,chimiothérapie","endoscopie gastro-intestinale,biopsie,imagerie médicale",maux ventre inconfort saignement gastro intestinaux anémie fatigue sensation plénitude satiété précoce,maux ventre inconfort saigne gastro intestinaux anemi fatigu sensat plenitud satiet precoc
lymphomes,"gonflement indolore des ganglions lymphatiques (notamment au cou et aux aisselles ou à l'aine),fatigue,fièvre inexpliquée,perte de poids inexpliquée,sudation nocturne excessive","chimiothérapie,immunothérapie,radiothérapie","biopsie d'un ganglion lymphatique,scanner,irm",gonfle indolore ganglion lymphatique notam cou aisselle aine fatigue fièvre inexpliquée perte poid sudation nocturne excessive,gonfle indolor ganglion lymphatiqu notam cou aissel ain fatigu fievr inexplique pert poid sudat nocturn exces
carcinome hépatocellulaire,"douleur abdominale,gonflement de l'abdomen,perte de poids inexpliquée,fatigue,jaunissement de la peau et des yeux (ictère)","chirurgie,radiofréquence,greffe de foie","échographie du foie,scanner,irm",maux ventre gonfle perte poid inexpliquée fatigue jaunisse peau yeux ictère,maux ventre gonfle pert poid inexplique fatigu jaunis peau yeux icter
sarcome de kaposi,"lésions cutanées violettes, rouges ou brunes,gonflement des jambes ou des pieds,douleurs dans les jambes,essoufflement","thérapie antirétrovirale,chirurgie,radiothérapie","biopsie cutanée,analyse sanguine,imagerie médicale",lésion cutanée violette rouge brune gonfle jambe pied maux essouffle,lesion peau violett roug brune gonfle jamb pie maux essouffl
cancer du larynx,"enrouement persistant,changement dans la voix,douleur à la gorge ou à l'oreille,difficulté à avaler","chirurgie,radiothérapie,chimiothérapie","laryngoscopie,biopsie,imagerie médicale",enroue persistant change voix maux gorge oreille difficulté avaler,enroue persist change voix maux gorg oreil difficult aval
mésothéliome,"essoufflement,douleur thoracique,toux persistante,perte de poids inexpliquée,fatigue","chirurgie,chimiothérapie,thérapie ciblée","scanner thoracique,biopsie,imagerie médicale",essouffle maux thoracique toux persistante perte poid inexpliquée fatigue,essouffl maux thoraciqu toux persistant pert poid inexplique fatigu
cancer de l'œsophage,"difficulté à avaler (dysphagie),douleur ou sensation de brûlure derrière le sternum,perte de poids inexpliquée,toux persistante","chirurgie,chimiothérapie,radiothérapie","endoscopie digestive haute,biopsie,imagerie médicale",difficulté avaler dysphagie maux sensation brûlure derrière sternum perte poid inexpliquée toux persistante,difficult aval dysphagi maux sensat brulur derrier sternum pert poid inexplique toux persistant
ostéosarcome,"douleur osseuse, généralement dans les bras ou les jambes,gonflement autour des os affectés,fractures osseuses fréquentes,masse palpable sur les os,fractures spontanées","chirurgie,chimiothérapie,radiothérapie","radiographie,irm,biopsie",maux osseuse générale bra jambe gonfle autour o affecté fracture osseuse fréquente masse palpable spontanée,maux osseu general bra jamb gonfle autour o affect fractur frequent mas palpabl spontane
cancer de l'ovaire,"gonflement abdominal,douleur pelvienne ou abdominale,besoin fréquent d'uriner,sensation de satiété rapide en mangeant","chirurgie,chimiothérapie,hormonothérapie","échographie pelvienne,tomographie par émission de positons (tep),biopsie",gonfle ventre maux pelvienne besoin fréquent uriner sensation satiété rapide mangeant,gonfle ventre maux pelvienn besoin frequent urin sensat satiet rapid mangeant
cancer du pancréas,"douleur abdominale ou lombaire,perte de poids inexpliquée,jaunissement de la peau et des yeux (ictère),perte d'appétit","chirurgie,chimiothérapie,radiothérapie","scanner abdominal,irm,biopsie",maux ventre lombaire perte poid inexpliquée jaunisse peau yeux ictère appétit,maux ventre lombair pert poid inexplique jaunis peau yeux icter appetit
cancer de la peau,"changements dans la taille, la forme ou la couleur des grains de beauté ou des lésions cutanées,saignements ou démangeaisons persistantes,douleur,croissance rapide","chirurgie,radiothérapie,chimiothérapie","biopsie de la peau,dermatoscopie,imagerie médicale",changement taille forme couleur grain beauté lésion cutanée saignement démangeaison persistante maux croissance rapide,change taill form couleur grain beaut lesion peau saigne demangeaison persistant maux croissanc rapid
cancer de la bouche,"lésions buccales persistantes,difficulté à mâcher ou à avaler,douleur à l'oreille,masse ou enflure dans la bouche ou le cou","chirurgie,radiothérapie,chimiothérapie","examen buccal,biopsie,imagerie médicale",lésion buccale persistante difficulté mâcher avaler maux oreille masse enflure bouche cou,lesion buccal persistant difficult macher aval maux oreil mas enflur bouch cou
carcinome pulmonaire à petites cellules (cancer du poumon),"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,toux avec du sang","chirurgie,chimiothérapie,radiothérapie","scanner thoracique,biopsie pulmonaire,tomographie par émission de positons (tep)",toux persistante essouffle maux thoracique perte poid inexpliquée sang,toux persistant essouffl maux thoraciqu pert poid inexplique sang
cancer de la prostate,"besoin fréquent d'uriner,douleur ou sensation de brûlure pendant la miction,flux urinaire faible ou interrompu,sang dans l'urine ou le sperme,douleur dans le dos, les hanches ou le bassin","chirurgie,radiothérapie,hormonothérapie","dosage de l'antigène prostatique spécifique (psa),biopsie de la prostate,irm pelvienne",besoin fréquent uriner maux sensation brûlure miction flux urinaire faible interrompu sang urine sperme do hanche bassin,besoin frequent urin maux sensat brulur miction flux urinair faibl interrompu sang sperm do hanch bassin
cancer du rein,"douleur dans le dos ou sur le côté,masse abdominale palpable,sang dans l'urine,fatigue,perte de poids inexpliquée","chirurgie,immunothérapie,thérapie ciblée","imagerie rénale (irm et scanner),urographie intraveineuse,biopsie rénale",maux do côté masse ventre palpable sang urine fatigue perte poid inexpliquée,maux do cote mas ventre palpabl sang urin fatigu pert poid inexplique
cancer du testicule,"gonflement ou masse dans le testicule,douleur ou inconfort dans le testicule ou le scrotum,sensation de lourdeur dans le scrotum,douleur ou inconfort dans le bas du dos ou l'aine","chirurgie,chimiothérapie,radiothérapie","examen physique,échographie testiculaire,biopsie",gonfle masse testicule maux inconfort scrotum sensation lourdeur ba do aine,gonfle mas testicul maux inconfort scrotum sensat lourdeur ba do ain
cancer de la thyroïde,"gonflement ou bosse dans le cou,changements dans la voix,difficulté à avaler,douleur dans le cou","chirurgie,thyroïdectomie,radiothérapie","échographie thyroïdienne,scintigraphie thyroïdienne,biopsie à l'aiguille fine",gonfle bosse cou changement voix difficulté avaler maux,gonfle bos cou change voix difficult aval maux
sarcome des tissus mous,"masse ou gonflement indolore,douleur persistante,saignements inhabituels,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,irm,scanner",masse gonfle indolore maux persistante saignement inhabituel fatigue,mas gonfle indolor maux persistant saigne inhabituel fatigu
carcinome de la vessie,"sang dans l'urine,douleur à la miction,besoin fréquent d'uriner,douleur pelvienne","chirurgie,chimiothérapie,immunothérapie","cystoscopie,urographie intraveineuse,biopsie de la vessie",sang urine maux miction besoin fréquent uriner pelvienne,sang urin maux miction besoin frequent pelvienn
myélome,"douleurs osseuses, surtout dans le dos ou les côtes,fatigue,fractures osseuses fréquentes,infections récurrentes,perte de poids inexpliquée","chimiothérapie,transplantation de cellules souches,thérapie ciblée","électrophorèse des protéines sériques et urinaires,biopsie de moelle osseuse,imagerie médicale",maux osseuse surtout do côte fatigue fracture fréquente infection récurrente perte poid inexpliquée,maux osseu surtout do cote fatigu fractur frequent infect recurrent pert poid inexplique
plasmocytome,"douleurs osseuses localisées,masse palpable sur les os,fractures osseuses,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,imagerie médicale,analyse sanguine",maux osseuse localisée masse palpable o fracture fatigue,maux osseu localise mas palpabl o fractur fatigu
pneumonie,"fièvre,toux avec expectorations,douleur thoracique,difficulté à respirer","antibiotiques,antipyrétiques,repos","radiographie pulmonaire,analyse de sang",fièvre toux expectoration maux thoracique difficulté respirer,fievr toux expector maux thoraciqu difficult respir
bronchite,"toux persistante,production de mucosités,fatigue fièvre légère","repos,antitussifs,hydratation","analyse de crachat,radiographie pulmonaire si nécessaire",toux persistante production mucosité fatigue fièvre légère,toux persistant product mucosit fatigu fievr leger
otite,"douleur à l'oreille,fièvre perte auditive temporaire","antibiotiques (si bactérienne),analgésiques,gouttes auriculaires",examen de l'oreille par un professionnel de la santé,maux oreille fièvre perte auditive temporaire,maux oreil fievr pert audit temporair
méningite,"raideur de la nuque,maux de tête sévères fièvre,confusion","antibiotiques,traitement de support,hospitalisation","ponction lombaire,analyse de liquide céphalorachidien",raideur nuque maux tête sévère fièvre confusion,raideur nuqu maux tete sever fievr confu
angine,"maux de gorge,difficulté à avaler,fièvre ganglions enflés","antibiotiques (si bactérienne),antalgiques,gargarismes","examen de la gorge,analyse de la gorge pour détecter une infection bactérienne",maux gorge difficulté avaler fièvre ganglion enflé,maux gorg difficult aval fievr ganglion enfl
infections urinaires,"brûlures en urinant,besoin fréquent d'uriner,douleur pelvienne","antibiotiques,hydratation,repos","analyse d'urine,culture d'uriner",brûlure urinant besoin fréquent uriner maux pelvienne,brulur urin besoin frequent maux pelvienn
panaris,"rougeur et gonflement autour de l'ongle,douleur pulsatile","drainage de l'abcès, antibiotiques,repos","examen clinique,culture du pus si nécessaire",rougeur gonfle autour ongle maux pulsatile,rougeur gonfle autour ongl maux pulsatil
septicémie,"fièvre élevée,confusion,frissons,hypotension","antibiotiques par voie intraveineuse,soutien hémodynamique,soins intensifs","hémoculture,analyse de sang approfondie",fièvre élevée confusion frisson hypotension,fievr eleve confu frisson hypoten
varicelle,"éruption cutanée avec des démangeaisons,fièvre,maux de tête,fatigue","antihistaminiques,antipyrétiques,calamine pour les démangeaisons",les symptômes sont souvent suffisants pour le diagnostic,éruption cutanée démangeaison fièvre maux tête fatigue,erupt peau demangeaison fievr maux tete fatigu
rougeole,"éruption cutanée,fièvre élevée,toux,conjonctivite","repos,antipyrétiques,vitamine a en cas de carence","analyse de sang,observation des symptômes caractéristiques",éruption cutanée fièvre élevée toux conjonctivite,erupt peau fievr eleve toux conjonctivit
rubéole,"éruption cutanée légère,fièvre légère,ganglions enflés","repos,gestion des symptômes",analyse de sang pour détecter les anticorps,éruption cutanée légère fièvre ganglion enflé,erupt peau leger fievr ganglion enfl
coqueluche,"toux sévère par accès,éternuements,épuisement,vomissements après la toux","antibiotiques,vaccin de rappel",prélèvement de sécrétions nasales pour la culture,toux sévère accè éternuement épuise vomissement aprè,toux sever acc eternu epui vomis apr
oreillons,"gonflement des glandes salivaires,fièvre,douleur en mangeant ou en buvant","repos,antipyrétiques,compresses chaudes sur les glandes enflées",observation des symptômes caractéristiques,gonfle glan salivaire fièvre maux mangeant buvant,gonfle gland salivair fievr maux mangeant buvant
maladies cardiovasculaires,"douleur thoracique,essoufflement,fatigue,palpitations","médicaments antiplaquettaires,médicaments pour abaisser la pression artérielle","électrocardiogramme (ecg),échocardiographie",maux thoracique essouffle fatigue palpitation,maux thoraciqu essouffl fatigu palpit
accidents vasculaires cérébraux,"engourdissement,faiblesse soudaine,confusion,maux de tête sévères","thérapie de revascularisation,médicaments anticoagulants","tomographie par ordinateur (tdm) du cerveau,imagerie par résonance magnétique (irm)",engourdisse faiblesse soudaine confusion maux tête sévère,engourdis faibles soudain confu maux tete sever
cancer,"perte de poids inexpliquée,bosse anormale,fatigue persistante","chirurgie,chimiothérapie,radiothérapie","biopsie,imagerie médicale",perte poid inexpliquée bosse anormauxe fatigue persistante,pert poid inexplique bos anormaux fatigu persistant
diabète,"soif excessive,mictions fréquentes,fatigue,vision floue","insuline,médicaments hypoglycémiants","test de glycémie à jeun,test d'hémoglobine a1c",soif excessive miction fréquente fatigue vision floue,soif exces miction frequent fatigu vision floue
arthrite,"douleur articulaire,gonflement,raideur,fatigue","anti-inflammatoires,physiothérapie","analyse de sang,imagerie des articulations",maux articulaire gonfle raideur fatigue,maux articulair gonfle raideur fatigu
maux de dos,"douleur dans le bas du dos,raideur musculaire,douleur irradiant vers les jambes","repos,physiothérapie,médicaments analgésiques","radiographie de la colonne vertébrale,irm",maux ba do raideur musculaire irradiant ver jambe,maux ba do raideur musculair irradi ver jamb
dépression chronique,"tristesse persistante,perte d'intérêt,fatigue,troubles du sommeil","psychothérapie,antidépresseurs","entretien avec un professionnel de la santé mentale,questionnaires de dépistage",tristesse persistante perte intérêt fatigue trouble sommeil,tristes persistant pert interet fatigu troubl sommeil
paludisme,"fièvre,frissons,maux de tête,fatigue","antipaludiques,repos",test de dépistage du paludisme,fièvre frisson maux tête fatigue,fievr frisson maux tete fatigu
bilharziose (schistosomiase),"fièvre,toux,éruption cutanée,douleurs musculaires","antiparasitaires,antibiotiques",examen microscopique des selles ou de l'urine,fièvre toux éruption cutanée maux musculaire,fievr toux erupt peau maux musculair
trypanosomiase africaine,"fièvre,fatigue,maux de tête,ganglions enflés","médicaments antiparasitaires,antibiotiques",test sanguin,fièvre fatigue maux tête ganglion enflé,fievr fatigu maux tete ganglion enfl
maladie de chagas,"fièvre,fatigue,gonflement des paupières,troubles cardiaques","médicaments antiparasitaires,médicaments pour le cœur","test sanguin,électrocardiogramme (ecg)",fièvre fatigue gonfle paupière trouble cardiaque,fievr fatigu gonfle paupier troubl cardiaqu
leishmaniose (kala azar),"fièvre prolongée,perte de poids,anémie,enflure de la rate et du foie","médicaments antiparasitaires,traitement de support",aspiration de moelle osseuse,fièvre prolongée perte poid anémie enflure rate foie,fievr prolonge pert poid anemi enflur rate foie
